"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/05/2025";"0000";"20,0";"20,8";"19,8";"75,0";"76,0";"73,0";"15,5";"15,8";"15,5";"888,7";"888,8";"888,5";"2,2";"119,0";"5,5";"";"0,0"
"06/05/2025";"0100";"19,6";"20,1";"19,6";"75,0";"76,0";"74,0";"15,1";"15,5";"15,1";"888,7";"888,9";"888,7";"3,0";"107,0";"6,2";"";"0,0"
"06/05/2025";"0200";"18,9";"19,7";"18,9";"80,0";"80,0";"75,0";"15,3";"15,3";"15,1";"888,9";"889,0";"888,7";"2,0";"123,0";"6,8";"";"0,0"
"06/05/2025";"0300";"18,6";"18,9";"18,4";"81,0";"81,0";"79,0";"15,2";"15,3";"15,0";"888,9";"889,0";"888,9";"1,4";"110,0";"4,0";"";"0,0"
"06/05/2025";"0400";"16,6";"18,6";"16,6";"85,0";"85,0";"80,0";"14,1";"15,1";"14,1";"888,5";"889,0";"888,5";"0,9";"106,0";"2,7";"";"0,0"
"06/05/2025";"0500";"17,5";"18,1";"16,5";"85,0";"88,0";"82,0";"15,0";"15,2";"14,2";"888,0";"888,5";"888,0";"1,2";"110,0";"3,4";"";"0,0"
"06/05/2025";"0600";"17,3";"17,6";"16,3";"85,0";"89,0";"84,0";"14,7";"15,0";"14,1";"887,5";"888,0";"887,5";"1,5";"118,0";"3,1";"";"0,0"
"06/05/2025";"0700";"15,5";"17,3";"15,5";"92,0";"93,0";"85,0";"14,2";"15,1";"14,0";"887,4";"887,5";"887,4";"0,7";"134,0";"2,9";"";"0,0"
"06/05/2025";"0800";"17,2";"17,2";"14,6";"86,0";"97,0";"86,0";"14,9";"15,6";"13,8";"887,6";"887,6";"887,4";"2,0";"101,0";"3,5";"";"0,0"
"06/05/2025";"0900";"17,1";"17,5";"17,0";"86,0";"87,0";"85,0";"14,8";"15,0";"14,7";"888,1";"888,1";"887,6";"2,1";"101,0";"4,2";"";"0,0"
"06/05/2025";"1000";"17,8";"17,9";"17,1";"83,0";"86,0";"83,0";"14,9";"15,0";"14,7";"888,4";"888,4";"888,1";"2,6";"89,0";"5,3";"36,00";"0,0"
"06/05/2025";"1100";"19,2";"19,2";"17,7";"78,0";"84,0";"78,0";"15,3";"15,4";"14,9";"888,9";"888,9";"888,4";"2,7";"85,0";"5,3";"566,30";"0,0"
"06/05/2025";"1200";"20,6";"20,7";"19,2";"73,0";"78,0";"72,0";"15,4";"15,9";"15,0";"889,3";"889,3";"888,9";"3,1";"65,0";"6,1";"1477,80";"0,0"
"06/05/2025";"1300";"22,9";"23,2";"20,5";"65,0";"74,0";"65,0";"15,9";"16,8";"15,4";"889,5";"889,5";"889,3";"2,7";"46,0";"6,9";"2192,40";"0,0"
"06/05/2025";"1400";"24,4";"24,4";"22,3";"62,0";"68,0";"59,0";"16,6";"16,7";"15,6";"889,0";"889,5";"889,0";"2,5";"52,0";"6,0";"2724,80";"0,0"
"06/05/2025";"1500";"25,0";"25,4";"23,9";"55,0";"62,0";"54,0";"15,5";"16,7";"15,1";"888,3";"889,0";"888,3";"2,3";"71,0";"5,9";"3028,70";"0,0"
"06/05/2025";"1600";"24,8";"26,2";"24,7";"56,0";"58,0";"53,0";"15,3";"16,7";"14,7";"887,6";"888,3";"887,6";"3,4";"54,0";"6,0";"2815,30";"0,0"
"06/05/2025";"1700";"26,8";"27,5";"24,7";"49,0";"61,0";"46,0";"15,1";"17,1";"14,5";"887,0";"887,6";"887,0";"1,8";"344,0";"6,0";"2835,60";"0,0"
"06/05/2025";"1800";"27,5";"27,5";"25,6";"51,0";"55,0";"46,0";"16,3";"16,6";"14,5";"886,5";"887,0";"886,4";"1,4";"43,0";"4,9";"2318,90";"0,0"
"06/05/2025";"1900";"26,3";"27,4";"25,5";"53,0";"57,0";"49,0";"16,0";"16,7";"15,3";"886,3";"886,5";"886,3";"2,0";"16,0";"5,1";"996,50";"0,0"
"06/05/2025";"2000";"25,3";"27,2";"25,3";"56,0";"57,0";"49,0";"16,0";"16,7";"15,2";"886,5";"886,5";"886,3";"2,6";"345,0";"5,1";"996,20";"0,0"
"06/05/2025";"2100";"24,2";"25,7";"24,2";"62,0";"62,0";"55,0";"16,5";"16,5";"15,7";"886,8";"886,8";"886,5";"2,1";"358,0";"4,8";"258,00";"0,0"
"06/05/2025";"2200";"22,8";"24,2";"22,5";"71,0";"74,0";"61,0";"17,3";"17,6";"16,3";"887,2";"887,3";"886,8";"0,8";"82,0";"4,6";"";"0,0"
"06/05/2025";"2300";"22,8";"23,5";"22,8";"70,0";"71,0";"67,0";"17,0";"17,3";"16,8";"888,0";"888,1";"887,2";"1,9";"59,0";"3,8";"";"0,0"
