"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"07/02/2025";"0000";"23,8";"24,6";"23,6";"58,0";"61,0";"56,0";"15,1";"15,6";"15,1";"886,5";"886,5";"886,0";"3,1";"109,0";"7,0";"";"0,0"
"07/02/2025";"0100";"22,7";"23,8";"22,7";"59,0";"59,0";"57,0";"14,3";"15,0";"14,1";"886,8";"886,8";"886,4";"3,1";"106,0";"6,7";"";"0,0"
"07/02/2025";"0200";"22,0";"22,8";"21,8";"65,0";"65,0";"59,0";"15,0";"15,0";"14,3";"886,9";"887,0";"886,8";"3,1";"95,0";"5,7";"";"0,0"
"07/02/2025";"0300";"21,7";"22,0";"21,6";"66,0";"66,0";"65,0";"15,0";"15,1";"15,0";"886,7";"887,0";"886,6";"2,6";"103,0";"5,7";"";"0,0"
"07/02/2025";"0400";"21,3";"21,8";"21,3";"67,0";"67,0";"65,0";"14,9";"15,0";"14,9";"886,5";"886,7";"886,5";"1,6";"110,0";"5,0";"";"0,0"
"07/02/2025";"0500";"18,8";"21,5";"18,8";"76,0";"76,0";"67,0";"14,6";"15,1";"14,5";"885,9";"886,5";"885,9";"0,8";"114,0";"3,9";"";"0,0"
"07/02/2025";"0600";"20,9";"21,1";"18,6";"69,0";"80,0";"68,0";"15,0";"15,6";"14,7";"885,4";"885,9";"885,3";"1,7";"100,0";"3,4";"";"0,0"
"07/02/2025";"0700";"18,1";"21,1";"18,0";"85,0";"85,0";"68,0";"15,5";"15,5";"14,8";"885,5";"885,5";"885,3";"1,1";"133,0";"3,3";"";"0,0"
"07/02/2025";"0800";"17,4";"18,1";"17,0";"87,0";"89,0";"85,0";"15,3";"15,8";"15,2";"885,7";"885,7";"885,5";"0,7";"10,0";"2,0";"";"0,0"
"07/02/2025";"0900";"16,7";"17,7";"16,4";"92,0";"92,0";"87,0";"15,4";"15,7";"15,0";"886,3";"886,3";"885,7";"1,3";"142,0";"1,9";"";"0,0"
"07/02/2025";"1000";"21,6";"21,6";"16,7";"70,0";"93,0";"70,0";"15,9";"16,7";"15,4";"886,8";"886,8";"886,2";"1,6";"115,0";"3,3";"247,00";"0,0"
"07/02/2025";"1100";"23,4";"23,6";"21,6";"62,0";"71,0";"61,0";"15,7";"16,2";"15,3";"887,5";"887,5";"886,8";"2,5";"109,0";"4,5";"1209,70";"0,0"
"07/02/2025";"1200";"24,6";"24,9";"23,4";"57,0";"63,0";"57,0";"15,7";"16,7";"15,6";"887,8";"887,8";"887,5";"2,2";"110,0";"5,0";"2100,20";"0,0"
"07/02/2025";"1300";"25,3";"26,0";"24,6";"55,0";"60,0";"52,0";"15,7";"16,8";"15,1";"887,8";"887,8";"887,7";"4,1";"92,0";"6,7";"2816,40";"0,0"
