"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2024";"0000";"27,6";"27,9";"27,5";"83,0";"83,0";"78,0";"24,4";"24,4";"23,8";"1007,8";"1007,8";"1007,0";"";"17,0";"";"";"0,0"
"01/05/2024";"0100";"27,2";"27,7";"27,1";"85,0";"85,0";"82,0";"24,5";"24,6";"24,3";"1008,2";"1008,3";"1007,8";"";"5,0";"";"";"0,0"
"01/05/2024";"0200";"26,6";"27,5";"26,6";"89,0";"89,0";"84,0";"24,6";"24,6";"24,4";"1008,7";"1008,8";"1008,1";"";"144,0";"";"";"0,0"
"01/05/2024";"0300";"26,4";"26,6";"26,3";"93,0";"93,0";"89,0";"25,1";"25,2";"24,7";"1008,8";"1008,9";"1008,7";"";"117,0";"";"";"0,0"
"01/05/2024";"0400";"26,5";"26,5";"26,3";"91,0";"93,0";"91,0";"24,9";"25,1";"24,9";"1008,2";"1008,8";"1008,2";"";"67,0";"";"";"0,0"
"01/05/2024";"0500";"25,7";"26,5";"25,7";"94,0";"94,0";"91,0";"24,7";"24,9";"24,6";"1007,4";"1008,2";"1007,4";"";"187,0";"";"";"0,0"
"01/05/2024";"0600";"25,8";"25,8";"25,6";"96,0";"96,0";"94,0";"25,1";"25,1";"24,7";"1007,1";"1007,4";"1007,1";"";"208,0";"";"";"0,0"
"01/05/2024";"0700";"25,8";"25,9";"25,8";"96,0";"96,0";"96,0";"25,0";"25,2";"25,0";"1007,2";"1007,3";"1007,0";"";"167,0";"";"";"0,0"
"01/05/2024";"0800";"25,1";"25,8";"25,1";"97,0";"97,0";"95,0";"24,5";"25,0";"24,5";"1007,4";"1007,4";"1007,1";"";"212,0";"";"";"1,4"
"01/05/2024";"0900";"24,8";"25,1";"24,8";"97,0";"97,0";"97,0";"24,2";"24,5";"24,2";"1007,9";"1007,9";"1007,4";"";"192,0";"";"";"0,0"
"01/05/2024";"1000";"24,7";"24,8";"24,7";"97,0";"97,0";"97,0";"24,2";"24,3";"24,2";"1008,5";"1008,5";"1007,9";"";"178,0";"";"2,30";"0,4"
"01/05/2024";"1100";"25,3";"25,4";"24,7";"97,0";"97,0";"97,0";"24,8";"24,8";"24,2";"1009,1";"1009,1";"1008,5";"";"168,0";"";"134,40";"0,0"
"01/05/2024";"1200";"27,9";"28,2";"25,3";"89,0";"97,0";"87,0";"25,8";"26,4";"24,8";"1009,5";"1009,5";"1009,1";"";"136,0";"";"1032,80";"0,0"
"01/05/2024";"1300";"30,5";"30,5";"27,9";"72,0";"89,0";"71,0";"24,8";"26,4";"24,7";"1009,8";"1009,9";"1009,5";"";"101,0";"";"1814,60";"0,0"
