"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"1200";"28,2";"28,7";"27,2";"74,0";"88,0";"74,0";"23,1";"25,4";"23,1";"1009,4";"1009,5";"1009,1";"2,4";"163,0";"";"850,30";"0,0"
"01/05/2024";"1300";"29,8";"30,2";"27,9";"63,0";"75,0";"63,0";"21,9";"23,8";"21,9";"1009,1";"1009,5";"1009,1";"2,4";"125,0";"8,8";"1572,90";"0,0"
"01/05/2024";"1400";"29,8";"30,2";"29,4";"62,0";"67,0";"60,0";"21,7";"22,9";"21,3";"1008,7";"1009,1";"1008,7";"2,7";"137,0";"10,4";"1597,10";"0,0"
"01/05/2024";"1500";"31,0";"31,1";"29,8";"59,0";"65,0";"59,0";"22,1";"23,1";"21,7";"1007,5";"1008,7";"1007,5";"2,6";"123,0";"6,5";"1859,90";"0,2"
"01/05/2024";"1600";"30,1";"32,2";"30,1";"61,0";"63,0";"56,0";"21,9";"23,6";"21,1";"1006,9";"1007,5";"1006,9";"1,9";"126,0";"6,7";"2074,40";"0,0"
"01/05/2024";"1700";"31,2";"31,9";"30,1";"57,0";"63,0";"56,0";"21,8";"23,3";"21,3";"1006,3";"1006,9";"1006,2";"3,4";"107,0";"7,6";"1840,70";"0,0"
"01/05/2024";"1800";"31,0";"31,5";"30,4";"56,0";"61,0";"55,0";"21,3";"22,4";"21,0";"1006,1";"1006,4";"1006,1";"3,1";"107,0";"7,7";"1751,40";"0,2"
"01/05/2024";"1900";"30,2";"31,1";"29,9";"61,0";"63,0";"55,0";"21,8";"22,4";"20,9";"1006,1";"1006,2";"1006,0";"2,6";"105,0";"7,1";"1244,30";"0,0"
"01/05/2024";"2000";"29,3";"30,2";"28,9";"67,0";"68,0";"61,0";"22,5";"22,7";"21,6";"1006,4";"1006,4";"1006,1";"1,7";"104,0";"5,6";"462,70";"0,0"
"01/05/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/05/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"1200";"29,2";"";"";"73,0";"";"";"23,9";"";"";"1008,5";"";"";"1,7";"137,0";"";"991,70";"0,0"
"02/05/2024";"1300";"29,6";"30,4";"29,1";"67,0";"74,0";"64,0";"22,8";"24,2";"22,4";"1008,2";"1008,5";"1008,2";"2,3";"136,0";"6,0";"1862,80";"0,2"
"02/05/2024";"1400";"30,6";"31,1";"29,5";"60,0";"68,0";"59,0";"21,8";"23,6";"21,7";"1007,7";"1008,3";"1007,7";"2,1";"141,0";"6,8";"1750,10";"0,0"
"02/05/2024";"1500";"29,8";"30,9";"29,1";"63,0";"66,0";"56,0";"22,0";"22,6";"20,5";"1006,7";"1007,7";"1006,7";"1,6";"131,0";"6,7";"839,00";"0,0"
"02/05/2024";"1600";"30,7";"31,1";"29,8";"58,0";"65,0";"55,0";"21,4";"22,9";"20,5";"1005,6";"1006,7";"1005,6";"2,4";"130,0";"6,2";"1716,60";"0,0"
"02/05/2024";"1700";"31,7";"32,0";"30,7";"57,0";"59,0";"51,0";"22,3";"22,4";"20,2";"1004,9";"1005,6";"1004,9";"2,4";"125,0";"6,5";"2096,90";"0,2"
"02/05/2024";"1800";"31,1";"31,8";"31,1";"56,0";"59,0";"54,0";"21,3";"22,4";"21,2";"1004,5";"1004,9";"1004,5";"2,9";"112,0";"6,8";"1838,20";"0,0"
"02/05/2024";"1900";"30,4";"31,3";"30,4";"59,0";"59,0";"55,0";"21,4";"21,9";"20,9";"1004,4";"1004,6";"1004,4";"2,8";"111,0";"7,4";"1373,80";"0,0"
"02/05/2024";"2000";"29,3";"30,5";"29,3";"64,0";"64,0";"57,0";"21,8";"21,9";"20,9";"1004,8";"1004,8";"1004,4";"2,2";"103,0";"7,0";"727,30";"0,0"
"02/05/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/05/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"1100";"27,5";"";"";"91,0";"";"";"26,0";"";"";"1007,1";"";"";"1,9";"174,0";"";"851,20";"0,0"
"03/05/2024";"1200";"28,3";"28,4";"26,7";"80,0";"100,0";"80,0";"24,5";"27,2";"24,5";"1007,6";"1007,6";"1007,1";"2,1";"150,0";"6,0";"1080,70";"0,0"
"03/05/2024";"1300";"27,5";"28,7";"26,7";"84,0";"89,0";"78,0";"24,6";"26,0";"23,8";"1007,5";"1007,7";"1007,5";"2,9";"132,0";"7,9";"1315,50";"0,2"
"03/05/2024";"1400";"29,8";"30,3";"27,5";"74,0";"85,0";"71,0";"24,6";"25,7";"23,9";"1007,0";"1007,5";"1007,0";"2,5";"164,0";"6,8";"2137,50";"0,0"
"03/05/2024";"1500";"28,8";"29,8";"27,9";"74,0";"84,0";"71,0";"23,8";"25,7";"23,3";"1006,2";"1007,0";"1006,2";"4,5";"107,0";"10,8";"1495,40";"0,0"
"03/05/2024";"1600";"31,1";"31,2";"28,3";"67,0";"77,0";"64,0";"24,2";"24,7";"23,2";"1005,3";"1006,2";"1005,3";"2,4";"120,0";"10,8";"1591,20";"0,0"
"03/05/2024";"1700";"30,5";"31,4";"30,0";"63,0";"71,0";"63,0";"22,8";"25,0";"22,7";"1004,7";"1005,3";"1004,7";"4,4";"104,0";"9,5";"1943,30";"0,0"
"03/05/2024";"1800";"30,5";"31,1";"30,4";"67,0";"68,0";"62,0";"23,7";"24,0";"22,8";"1004,3";"1004,7";"1004,3";"2,9";"102,0";"9,5";"1821,70";"0,0"
"03/05/2024";"1900";"29,8";"30,6";"29,8";"67,0";"70,0";"65,0";"23,0";"23,9";"22,9";"1004,8";"1004,8";"1004,3";"2,6";"124,0";"8,7";"1181,30";"0,0"
"03/05/2024";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/05/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/05/2024";"1400";"29,2";"";"";"71,0";"";"";"23,4";"";"";"1008,8";"";"";"1,5";"171,0";"";"435,70";"0,0"
